article,authorid,age,field,sex
1,359,4,eco,1
1,360,7,eco,1
1,361,3,eco,1
1,361,4,eco,1
2,362,2,other,1
1,363,4,other,1
1,364,2,eco,1
1,365,1,other,1
1,366,4,other,1
1,367,3,other,1
1,368,4,other,2
1,369,6,med,1
1,369,6,other,1
1,369,8,eco,1
1,370,8,other,1
1,372,7,other,1
3,373,7,other,2
1,373,8,other,2
2,374,2,other,1
1,375,8,edu,1
1,376,3,edu,1
3,376,4,edu,1
1,377,4,edu,1
1,378,4,edu,1
1,378,4,other,1
1,378,5,edu,1
1,379,4,other,2
1,380,5,edu,1
2,380,5,other,1
1,381,3,eco,2
1,381,4,eco,2
1,382,3,other,1
2,383,8,other,1
2,384,2,edu,2
1,384,3,edu,2
1,385,7,other,1
1,387,3,eco,2
1,387,3,other,2
2,388,3,other,2
3,388,4,other,2
1,390,4,other,1
1,391,3,other,1
2,391,5,eco,1
3,391,5,other,1
1,392,3,eco,1
1,393,4,eco,1
1,393,5,other,1
1,394,3,other,1
1,394,4,other,1
1,395,4,eco,1
1,395,5,eco,1
2,396,5,eco,1
3,396,6,eco,1
1,397,7,other,1
5,397,8,other,1
1,397,9,other,1
1,398,3,eco,1
1,399,4,eco,1
1,400,7,eco,1
2,401,3,eco,2
1,402,6,other,1
1,403,6,other,1
1,404,4,other,2
2,405,7,eco,1
1,405,7,edu,1
6,405,8,eco,1
1,406,5,eco,1
1,406,5,edu,1
8,407,5,other,1
1,407,6,other,1
2,408,4,edu,2
1,409,3,eco,2
1,409,3,med,2
1,409,3,other,2
1,409,4,med,2
1,409,4,other,2
1,410,3,edu,2
1,411,3,edu,2
2,411,3,med,2
3,411,3,other,2
2,411,4,other,2
9,412,8,med,1
7,412,8,other,1
14,412,9,med,1
11,412,9,other,1
1,413,4,med,2
1,413,4,other,2
1,413,5,edu,2
11,413,5,med,2
7,413,5,other,2
2,413,6,med,2
15,414,8,med,1
19,414,8,other,1
15,414,9,med,1
9,414,9,other,1
1,415,8,med,2
1,415,8,other,2
1,416,6,med,2
1,416,6,other,2
1,417,3,other,1
1,417,4,other,1
1,418,3,med,1
1,418,3,other,1
2,418,4,other,1
1,419,2,med,1
2,419,2,other,1
1,419,3,med,1
2,419,3,other,1
2,420,2,med,2
1,420,3,med,2
1,420,3,other,2
6,421,3,med,2
3,421,3,other,2
1,422,8,other,2
2,423,2,eco,1
3,423,2,edu,1
8,423,2,med,1
11,423,2,other,1
1,424,1,med,1
3,424,1,other,1
2,424,2,edu,1
2,424,2,other,1
2,437,3,other,2
1,437,4,eco,2
1,437,4,edu,2
10,437,4,other,2
1,437,5,edu,2
6,437,5,other,2
1,452,3,eco,1
1,452,3,edu,1
2,452,3,other,1
5,452,4,eco,1
3,452,4,edu,1
1,452,5,edu,1
3,453,3,eco,2
1,453,4,edu,2
1,456,5,eco,1
1,456,6,eco,1
1,457,1,edu,2
1,457,2,eco,2
1,457,2,edu,2
1,457,3,edu,2
3,458,2,med,1
2,458,3,med,1
1,460,2,eco,1
1,462,5,med,2
1,463,6,eco,2
2,464,4,other,2
1,464,5,eco,2
4,464,5,other,2
2,465,5,med,2
1,465,5,other,2
1,465,6,med,2
1,466,3,edu,1
4,467,7,eco,1
2,469,7,eco,1
7,469,8,eco,1
1,469,9,eco,1
1,470,4,eco,2
1,471,5,other,1
1,472,7,eco,1
1,472,8,eco,1
1,473,6,other,1
1,473,7,other,1
2,473,8,other,1
18,474,9,eco,1
9,474,9,other,1
1,475,6,other,1
5,476,3,med,2
3,477,3,eco,1
1,477,3,other,1
1,478,2,med,1
5,478,3,med,1
1,479,6,eco,2
1,479,6,other,2
2,479,7,other,2
4,480,4,eco,1
1,480,4,other,1
6,481,4,eco,1
16,481,5,eco,1
1,481,5,other,1
13,481,6,eco,1
2,482,2,eco,1
1,482,3,eco,1
1,483,5,med,1
1,484,3,eco,2
2,485,2,eco,2
1,486,5,eco,2
1,486,5,med,2
1,486,5,other,2
1,486,6,med,2
3,486,6,other,2
1,487,2,eco,2
3,487,3,eco,2
1,488,5,eco,2
1,489,6,eco,2
1,490,2,eco,2
1,490,3,eco,2
1,491,5,other,2
1,492,3,med,2
1,493,9,eco,1
1,494,3,other,1
5,494,4,eco,1
1,494,5,other,1
3,495,8,other,1
