article,authorid,field,sex
1,379,other,2
1,380,edu,1
2,380,other,1
2,381,eco,2
1,382,other,1
2,383,other,1
3,384,edu,2
1,385,other,1
1,387,eco,2
1,387,other,2
5,388,other,2
1,390,other,1
2,391,eco,1
4,391,other,1
1,392,eco,1
1,393,eco,1
1,393,other,1
2,394,other,1
2,395,eco,1
5,396,eco,1
7,397,other,1
1,398,eco,1
1,399,eco,1
1,400,eco,1
2,401,eco,2
1,402,other,1
1,403,other,1
1,404,other,2
8,405,eco,1
1,405,edu,1
1,406,eco,1
1,406,edu,1
9,407,other,1
2,408,edu,2
1,409,eco,2
2,409,med,2
2,409,other,2
1,410,edu,2
1,411,edu,2
2,411,med,2
5,411,other,2
23,412,med,1
18,412,other,1
1,413,edu,2
14,413,med,2
8,413,other,2
30,414,med,1
28,414,other,1
1,415,med,2
1,415,other,2
1,416,med,2
1,416,other,2
2,417,other,1
1,418,med,1
3,418,other,1
2,419,med,1
4,419,other,1
3,420,med,2
1,420,other,2
6,421,med,2
3,421,other,2
1,422,other,2
2,423,eco,1
3,423,edu,1
8,423,med,1
11,423,other,1
2,424,edu,1
1,424,med,1
5,424,other,1
1,437,eco,2
2,437,edu,2
18,437,other,2
6,452,eco,1
5,452,edu,1
2,452,other,1
3,453,eco,2
1,453,edu,2
2,456,eco,1
1,457,eco,2
3,457,edu,2
5,458,med,1
1,460,eco,1
1,462,med,2
1,463,eco,2
1,464,eco,2
6,464,other,2
3,465,med,2
1,465,other,2
1,466,edu,1
4,467,eco,1
10,469,eco,1
1,470,eco,2
1,471,other,1
2,472,eco,1
4,473,other,1
18,474,eco,1
9,474,other,1
1,475,other,1
5,476,med,2
3,477,eco,1
1,477,other,1
6,478,med,1
1,479,eco,2
3,479,other,2
4,480,eco,1
1,480,other,1
35,481,eco,1
1,481,other,1
3,482,eco,1
1,483,med,1
1,484,eco,2
2,485,eco,2
1,486,eco,2
2,486,med,2
4,486,other,2
4,487,eco,2
1,488,eco,2
1,489,eco,2
2,490,eco,2
1,491,other,2
1,492,med,2
1,493,eco,1
5,494,eco,1
2,494,other,1
3,495,other,1
2,496,other,1
1,497,eco,1
1,498,eco,1
1,500,eco,2
12,501,eco,1
1,502,eco,1
1,504,other,1
2,505,other,1
1,506,eco,2
1,506,other,2
2,507,eco,1
5,507,other,1
1,510,eco,1
11,512,eco,1
20,513,edu,2
2,513,other,2
3,514,other,2
2,515,eco,1
1,515,other,1
1,517,eco,1
1,518,eco,1
1,518,med,1
3,518,other,1
4,519,med,1
5,522,other,1
1,529,edu,1
5,530,eco,1
1,530,med,1
4,530,other,1
1,531,eco,2
1,534,other,1
2,1624,eco,2
3,1624,edu,2
3,1624,med,2
8,1624,other,2
1,1625,other,1
1,1631,other,2
2,1632,med,1
1,1632,other,1
3,1650,other,1
5,1682,eco,1
1,1682,edu,1
3,1682,other,1
1,1813,other,1
1,1850,eco,1
1,1867,other,1
1,1868,eco,1
2,1868,edu,1
5,1868,other,1
1,1869,other,1
1,1871,other,1
1,1877,eco,1
1,1878,other,2
3,1879,med,1
3,1881,eco,1
1,1881,other,1
1,1883,other,1
1,1884,other,1
1,1885,other,1
2,1886,eco,1
1,1886,other,1
1,1891,other,2
5,1899,med,1
2,1904,eco,1
3,1909,med,2
2,1909,other,2
2,1925,med,1
2,1926,other,1
1,1928,other,2
1,1932,other,1
1,1936,edu,2
4,1945,med,1
8,1945,other,1
5,1947,med,1
9,1947,other,1
4,1953,med,2
8,1953,other,2
6,1963,med,2
11,1963,other,2
1,1969,eco,1
1,1969,other,1
1,1972,other,1
1,1973,other,2
3,1978,med,2
1,1984,other,1
1,1985,other,1
1,1986,other,1
1,2015,eco,1
1,2015,other,1
1,2018,edu,2
1,2019,edu,1
1,2020,edu,2
1,2021,edu,1
1,2022,edu,2
4,2024,other,2
5,2026,other,1
1,2042,other,2
1,2044,other,2
1,2046,eco,1
1,2047,eco,2
2,2058,other,2
1,2059,other,1
1,2078,eco,1
2,2078,other,1
1,2083,eco,1
1,2083,other,1
4,2086,other,1
1,2092,other,1
1,2095,med,1
1,2098,med,2
1,2107,eco,1
1,2107,other,1
1,2119,eco,1
1,2120,med,2
1,2120,other,2
1,2122,other,2
1,2129,other,1
1,2130,eco,2
1,2132,eco,1
1,2133,eco,1
1,2134,eco,1
1,2138,other,1
1,2140,eco,1
1,2140,other,1
1,2142,eco,1
2,2161,other,2
19,2184,eco,1
59,2184,med,1
4,2184,other,1
6,2186,eco,2
21,2186,med,2
3,2186,other,2
1,2190,other,2
2,2215,med,2
2,2216,med,1
1,2224,eco,1
1,2224,med,1
4,2252,eco,1
1,2254,eco,2
1,2269,other,2
2,2271,eco,2
1,2271,other,2
1,2277,eco,1
4,2277,med,1
1,2277,other,1
1,2296,other,1
2,2297,other,1
1,2299,other,1
1,2301,eco,1
1,2301,other,1
1,2303,other,2
2,2306,other,2
1,2308,other,1
1,2311,med,2
2,2311,other,2
1,2324,med,2
1,2372,eco,2
4,2375,med,2
5,2375,other,2
1,2377,med,2
1,2377,other,2
1,2409,edu,2
1,2412,other,2
1,2440,med,1
1,2444,other,2
1,2445,other,2
1,2446,other,2
1,2447,other,1
1,2450,other,1
1,2451,other,1
2,2461,other,1
2,2465,other,1
1,2466,other,1
2,2477,other,1
1,2498,eco,1
1,2499,eco,2
2,2516,eco,1
1,2521,eco,1
1,2525,eco,2
1,2528,eco,1
2,2531,eco,2
1,2533,eco,2
1,2559,other,2
1,2564,eco,1
3,2564,other,1
1,2575,eco,2
1,2583,eco,1
3,2630,other,1
2,2664,other,1
1,2665,other,2
3,2666,other,1
3,2667,other,1
1,2668,other,2
1,2670,other,1
3,2674,eco,2
2,2674,edu,2
2,2681,edu,2
1,2682,edu,2
3,2685,other,2
1,2686,other,2
1,2688,other,1
1,2692,edu,2
1,2692,other,2
2,2693,edu,2
2,2694,other,2
1,2700,eco,2
1,2700,other,2
1,2701,med,1
1,2701,other,1
1,2703,med,2
1,2703,other,2
15,2708,other,1
6,2711,eco,2
1,2711,edu,2
1,2711,med,2
3,2711,other,2
2,2712,edu,2
9,2714,eco,1
3,2714,edu,1
17,2714,other,1
5,2715,eco,2
1,2715,edu,2
1,2715,other,2
4,2716,eco,1
