ViewCount,CtryCode,PostId
33,GB,1080
1,BR,3139
2,CO,2135
23,TH,1073
26,BE,1108
2,PL,2121
4,SE,3139
25,PT,2135
1,MY,3141
1,AE,3139
1,EE,2121
105,FR,4174
1,SA,1108
33,SG,4156
3,PH,3139
2,CZ,2118
2,ZA,2135
116,RU,1024
2,IN,2121
1,MY,1080
6,IT,4174
2191,VN,4156
132,BY,2135
3,NL,1041
6,IE,1081
1,AP,1108
2,TH,2135
1,LA,2135
590,JP,1038
4,IT,4214
22,GB,3141
16,AT,1108
2,GR,1073
2,AE,2120
1,IE,1041
1101,US,2134
1,ES,2118
1,KH,1074
3,CL,4221
17,CH,4214
4,,3141
11,,1080
3,HU,2120
82,JP,4221
3,LA,4156
140,KR,2120
1,ID,3141
272,JP,2134
7,MM,2118
3,PL,2124
6,IN,2118
1,EE,2118
1,UG,4276
10,NZ,4214
7,SE,4304
7,PH,4304
174,AU,4156
132,JP,4227
9,HU,1024
3,HK,4214
63,SG,1108
2,EE,1080
2,NP,1024
15,GB,4227
1,HK,4174
8,NO,2134
65,RU,4276
1,FI,5507
24,FI,1073
6,BR,1108
4,IL,2134
7,CH,2134
4,MM,2121
5,PL,4174
123,JP,1081
16,TR,2135
4,IS,2135
73,FR,1038
1209,US,4214
2,EE,3141
483,US,4174
44,JP,1041
1,PL,4214
84,CA,1024
1,DK,4227
14,IE,1073
108,FR,4221
1,PH,1081
366,KR,1024
2,SE,4227
2,GH,4156
221,AU,1073
4,SE,1041
78,GB,1024
2,ES,1080
1,EU,1074
2,PH,4227
11,FI,2135
7811,VN,1108
5,IE,4276
2,CR,1073
19,AU,2135
4,LA,2134
1,MO,1081
1,PH,1041
1,IN,2124
14,IE,2135
6,IT,4326
78,FR,4304
5,IE,5507
55,FI,4156
2,SE,1081
6,KR,4276
23,NL,1108
1,EU,4174
8,DK,1024
2732,VN,1074
191,KR,2118
1,SK,1108
7,NZ,3141
10,TH,4304
1,AO,4156
2,HU,4156
23,GB,4221
5,TW,4276
125,SE,2135
1,EE,4174
301,US,3141
1,GR,1108
3,PL,1080
2,LA,1041
1,BD,4156
1,HK,1080
57,BR,2135
2,ID,1038
2,UA,1073
2,GR,4214
9,TH,4221
4,PH,2135
6,NO,1080
1,GF,2134
248,JP,1073
8,IE,4156
1,EU,2124
45,TW,2135
28,TH,2134
3,IL,1038
1,TR,2118
1,PR,4214
1,AP,3141
3,CH,1080
488,JP,2135
8,PH,1073
1,ZM,2134
9,GB,1038
3,SE,1073
6,,2134
5,IN,4214
3,IL,1041
780,US,1080
166,FR,2134
3,PL,3141
1,TR,2121
15,AU,4276
40,SG,4214
1,FJ,4276
13,TH,2120
1,AE,2135
11,CA,3139
3,TH,3139
3,NO,3141
1,FI,4276
78,AU,4227
18,CA,1081
12,KR,2135
214,US,4326
17,NL,2118
22,JP,5507
1,BR,2118
6,HU,2135
2,AE,2118
1,BY,1108
10,NL,2121
1,EE,1074
1,CH,4326
12,GB,3139
150,JP,4276
102,DE,2134
6,IN,1074
7,PL,1074
50,GB,2120
1,IL,1081
66,RU,4156
3,CN,4326
1,RO,4174
1,EU,1108
52,DE,4227
3,CN,1081
1,AE,4174
41,TW,2134
5,IN,4326
91,FR,5507
55,DE,1041
2,TR,3139
7,ID,1024
1,QA,2118
2,CZ,4304
17,CA,2124
2,HU,2121
35,NZ,1024
3,AT,4227
514,US,4156
1,EE,4304
2,TR,2120
46,DE,4221
1,SA,2134
2,LA,4326
3,NL,3141
1,AP,4221
